spectrum_id,inchikey,ion_mode,precursor_mz,instrument_type,contributor,license
MSBNK-ACES_SU-AS000421,JGMOKGBVKVMRFX-HQZYFCCVSA-N,POSITIVE,313.216,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000422,WEUCDJCFJHYFRL-UHFFFAOYSA-N,POSITIVE,315.1621,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000423,YEHCICAEULNIGD-MZMPZRCHSA-N,POSITIVE,315.1881,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000424,YKGYIDJEEQRWQH-UHFFFAOYSA-N,POSITIVE,322.1754,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000425,WSEQXVZVJXJVFP-UHFFFAOYSA-N,POSITIVE,325.1705,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000426,AVKUERGKIZMTKX-NJBDSQKTSA-N,POSITIVE,350.1157,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000427,ZEKZLJVOYLTDKK-UHFFFAOYSA-N,POSITIVE,352.1455,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000428,ALLWOAVDORUJLA-UHFFFAOYSA-N,POSITIVE,371.0783,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000429,VSWPGAIWKHPTKX-UHFFFAOYSA-N,POSITIVE,371.1523,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000430,LNEPOXFFQSENCJ-UHFFFAOYSA-N,POSITIVE,376.147,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000431,GNUXVOXXWGNPIV-UHFFFAOYSA-N,POSITIVE,378.2532,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000432,OUJTZYPIHDYQMC-LJQANCHMSA-N,POSITIVE,379.1644,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000433,RAPZEAPATHNIPO-UHFFFAOYSA-N,POSITIVE,411.2186,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000434,ORFOPKXBNMVMKC-DWVKKRMSSA-N,POSITIVE,547.1053,LC-ESI-QFT,ACES_SU,CC BY
MSBNK-ACES_SU-AS000435,OIRFJRBSRORBCM-UHFFFAOYSA-N,POSITIVE,571.8063,LC-ESI-QFT,ACES_SU,CC BY
